registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/cassandra,v3.5.1-20221017.2202-5e21690f5,sha256:5e21690f5c286c0c1147add964d8f3639559b98d21b334d2f967ea153e1684a1,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cassandra,v3.5.1-20221017.2202-5e21690f5-linux.amd64,sha256:5c6336039e508a65280f966a8be732bde7f0ab7311943fab9669d2668114da99,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-alm-observer,v3.5.1-20221017.2202-50824e4fc,sha256:50824e4fc31ef2b09fb549d72170f3e018692612a641dbbad822cb40924d5d5d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-alm-observer,v3.5.1-20221017.2202-50824e4fc-linux.amd64,sha256:001dd4bdb17b165c8d8040fbf74fb967c6747db1a77286f8fa0f4c506748bfa9,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-alm-observer,v3.5.1-20221017.2202-50824e4fc-linux.ppc64le,sha256:96bf9a050671730aff5740070dcf72dc8d4c5abbb6775dc33f823eb970274774,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ansibleawx-observer,v3.5.1-20221017.2202-69fd1e052,sha256:69fd1e05226fa1deb88935771df68dddca570d64f2e41e1c9a12038140fb537d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ansibleawx-observer,v3.5.1-20221017.2202-69fd1e052-linux.amd64,sha256:3987d752452c4a55887a6c0a6da26da147b8925b859e37334be76b88e868d64e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ansibleawx-observer,v3.5.1-20221017.2202-69fd1e052-linux.ppc64le,sha256:ee42f35e56f6c9d4733112b6ea08ee722d49e273c0027aa69d429828dc352f84,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-appdynamics-observer,v3.5.1-20221017.2202-f06b06aad,sha256:f06b06aade643dcc2ed577f2dd8d6945be73c6a6d9f22e85052bdab2c6a8fbe4,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-appdynamics-observer,v3.5.1-20221017.2202-f06b06aad-linux.amd64,sha256:5cf0c931013ba420121bcb7360300241af7f18163aba4ec9011f8446004ea343,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-appdynamics-observer,v3.5.1-20221017.2202-f06b06aad-linux.ppc64le,sha256:cf62b3165bae38bf3e89f0394084a1708322270c82e5fd224b4f1d1d2d81d63c,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aws-observer,v3.5.1-20221017.2202-bf59be016,sha256:bf59be016b59ac1a2fc4829f24e943a7be2aabd63b2137ce3c2a0d89f40f8c82,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aws-observer,v3.5.1-20221017.2202-bf59be016-linux.amd64,sha256:5c84e1303e98708ebd325ee8316b49a3002b442ad5b9ed900eb3448d5a82375f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aws-observer,v3.5.1-20221017.2202-bf59be016-linux.ppc64le,sha256:598f6d04718f2ae3a4fd6888b0777c5a0f185d3138830130d82c1cfd4ea1d065,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-azure-observer,v3.5.1-20221017.2202-0402966e3,sha256:0402966e393c2c173accf56de52c1faf8f6d5e10a2b2dee97343bd470fd33216,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-azure-observer,v3.5.1-20221017.2202-0402966e3-linux.amd64,sha256:1cf94c88d8f97f11f0946b5fe6d3d1667fa6db04193250acfd82dcce63b789d8,IMAGE,linux,amd64,"",0,CASE,"",""
